filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
bs_raw.fast5	003084a1-d2fb-4c56-ba98-4efaf05f19ab	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	230	4	23726.854500	20.864000	20864	TRUE	23726.854500	20864	20.864000	8603	8.415732	0.000000	50.315044	7.906650	50.315044	7.906650
bs_raw.fast5	003f003d-a943-48b6-bf18-31f89f9fbed6	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	86	1	125383.477500	6.007000	6007	TRUE	125383.477500	6007	6.007000	1939	7.530212	0.000000	47.619595	5.570594	47.619595	5.570594
bs_raw.fast5	004c4765-e16f-4a98-9cb9-41612ef796e5	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	288	3	71727.128500	25.501250	25501	FALSE	71727.128500	25501	25.501250	9902	6.833149	0.000000	47.799294	7.008167	47.799294	7.008167
bs_raw.fast5	004f8350-7bdb-4ccf-8375-2a945d980b3c	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	296	4	162390.770750	2.815500	2815	TRUE	162390.770750	2815	2.815500	983	8.501196	0.000000	50.854134	7.187863	50.854134	7.187863
bs_raw.fast5	0053d848-a30f-45b1-bdf8-ee572303e154	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	201	2	53013.025750	8.499250	8499	TRUE	53013.025750	8499	8.499250	3712	7.987791	0.000000	50.315044	8.266043	50.315044	8.266043
bs_raw.fast5	008ce7b7-a104-4005-a791-b62502b35164	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	204	2	36993.477500	3.404500	3404	TRUE	36993.477500	3404	3.404500	1166	8.945731	0.000000	51.213528	6.648774	51.213528	6.648774
bs_raw.fast5	008e0186-094e-4765-a074-00cf40ea28ac	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	183	1	30439.239500	7.149750	7149	TRUE	30439.239500	7149	7.149750	3255	7.932925	0.000000	48.697777	8.086347	48.697777	8.086347
bs_raw.fast5	009cc6b4-45fe-47b8-b86b-76535556cc88	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	305	2	10958.196000	44.228500	44228	TRUE	10958.196000	44228	44.228500	19344	8.113537	0.000000	49.596260	8.445740	49.596260	8.445740
bs_raw.fast5	00b00cfe-518a-41ce-9122-22b144cc8861	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	313	3	133015.548500	12.582250	12582	TRUE	133015.548500	12582	12.582250	4455	8.863064	0.000000	50.494743	7.906650	50.494743	7.906650
bs_raw.fast5	00b7fc27-9851-4c05-803b-564cd5893e43	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	398	2	48145.256250	8.803500	8803	TRUE	48145.256250	8803	8.803500	3712	8.863363	0.000000	50.494743	7.906650	50.494743	7.906650
bs_raw.fast5	00c2b7ee-ba08-425b-b788-55f176fd7f37	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	449	3	8330.218750	6.246250	6246	TRUE	8330.218750	6246	6.246250	2665	8.859660	0.000000	53.908978	7.187863	53.908978	7.187863
bs_raw.fast5	00da3d2a-e498-4a3f-8019-a39583ae9a08	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	318	1	108703.670750	9.697250	9697	TRUE	108703.670750	9697	9.697250	3722	7.851901	0.000000	47.978989	7.906650	47.978989	7.906650
bs_raw.fast5	00e710e7-14d8-4036-9ea1-63966dc0e850	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	27	2	49401.368500	49.628000	49628	TRUE	49401.368500	49628	49.628000	19591	8.724179	0.000000	51.572922	7.906650	51.572922	7.906650
bs_raw.fast5	00eaa464-bc29-439c-8e8b-c7782ea22016	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	380	1	72017.209000	5.336250	5336	TRUE	72017.209000	5336	5.336250	2336	7.666809	0.000000	46.182022	8.086347	46.182022	8.086347
bs_raw.fast5	012c7867-d11b-4db4-a74c-db277b32340e	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	377	2	3525.865000	36.611500	36611	TRUE	3525.865000	36611	36.611500	16626	8.061730	0.000000	52.471405	7.187863	52.471405	7.187863
bs_raw.fast5	0134df74-baee-458c-976c-73e82c40dc01	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	308	1	128386.377750	40.308750	40308	TRUE	128386.377750	40308	40.308750	15925	7.555305	0.000000	42.049004	7.367560	42.049004	7.367560
bs_raw.fast5	014875b0-4e0d-4a2f-950f-5b9005237c4a	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	506	1	24496.396500	20.376000	20376	TRUE	24496.396500	20376	20.376000	8183	8.834135	0.000000	52.651100	7.547257	52.651100	7.547257
bs_raw.fast5	01572fc9-a9e5-4ee5-a83b-81e9dc13f8cf	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	97	1	23888.815250	3.139500	3139	TRUE	23888.815250	3139	3.139500	1275	8.266820	0.000000	49.775955	7.547257	49.775955	7.547257
bs_raw.fast5	015f4166-3bb0-4b9d-b627-63cc4ca3652f	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	66	3	68090.633000	5.446250	5446	TRUE	68090.633000	5446	5.446250	1979	8.236147	0.000000	52.112011	7.547257	52.112011	7.547257
bs_raw.fast5	016b95d2-1554-41c2-8336-0f2333a43942	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	41	4	2974.322750	2.525750	2525	TRUE	2974.322750	2525	2.525750	1007	8.098526	0.000000	56.424728	10.063009	56.424728	10.063009
bs_raw.fast5	017d85c7-ee09-47f2-9473-1f7b188cf2e9	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	51	3	44017.242500	8.889000	8889	TRUE	44017.242500	8889	8.889000	3759	8.858398	0.000000	53.010494	7.367560	53.010494	7.367560
bs_raw.fast5	017df66a-2c3c-409c-8093-323e833b75b7	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	309	3	65185.060250	3.969500	3969	TRUE	65185.060250	3969	3.969500	1393	7.388569	0.000000	45.463238	7.367560	45.463238	7.367560
bs_raw.fast5	0186d5eb-526d-4da1-ac20-f4b28745e352	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	335	2	24398.301500	20.788000	20788	TRUE	24398.301500	20788	20.788000	8666	8.438379	0.000000	49.955650	8.086347	49.955650	8.086347
bs_raw.fast5	0196a553-b99a-4cd7-8345-f59a7f8dae8c	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	83	3	118754.802000	22.409500	22409	TRUE	118754.802000	22409	22.409500	8359	7.947970	0.000000	47.799294	7.906650	47.799294	7.906650
bs_raw.fast5	01a26c85-9cde-40c9-9018-5e33218be151	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	353	2	65326.833750	6.284500	6284	TRUE	65326.833750	6284	6.284500	2454	8.431528	0.000000	59.479572	8.445740	59.479572	8.445740
bs_raw.fast5	01adeeea-e63d-4a18-9556-9eb0f2cdd7ef	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	317	1	56007.016750	8.850000	8850	TRUE	56007.016750	8850	8.850000	3171	8.015175	0.000000	48.158688	5.750291	48.158688	5.750291
bs_raw.fast5	01bf1645-9b4b-4603-b4b3-22343531350a	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	285	3	133110.174750	8.635000	8635	TRUE	133110.174750	8635	8.635000	3190	8.483773	0.000000	51.752617	8.266043	51.752617	8.266043
bs_raw.fast5	01c97606-ad30-474b-ba58-b8e0fb4cbdaf	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	51	4	29498.790250	19.886750	19886	TRUE	29498.790250	19886	19.886750	8113	8.295859	0.000000	52.471405	8.266043	52.471405	8.266043
bs_raw.fast5	01dacf4c-1f11-4478-91ac-97e2ded44425	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	183	4	45278.506750	9.075750	9075	FALSE	45278.506750	9075	9.075750	3813	6.217270	0.000000	46.361721	7.726954	46.361721	7.726954
bs_raw.fast5	01e0fd82-e417-4c75-b373-e5750dda0ec6	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	34	1	80328.132250	10.049500	10049	TRUE	80328.132250	10049	10.049500	4248	8.560393	0.000000	51.033833	7.906650	51.033833	7.906650
bs_raw.fast5	01e5a6ff-8735-448d-a292-45245177d994	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	145	3	66262.551250	3.279750	3279	TRUE	66262.551250	3279	3.279750	1298	8.791442	0.000000	47.260204	7.726954	47.260204	7.726954
bs_raw.fast5	01f3c851-79f4-4230-9a65-23989769d4da	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	49	1	17430.913500	0.875500	875	TRUE	17430.913500	875	0.875500	383	7.480706	0.000000	56.424728	7.187863	56.424728	7.187863
bs_raw.fast5	01f744a4-7f27-4e93-aee7-45384db1e87d	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	92	2	89703.636250	36.940000	36940	TRUE	89703.636250	36940	36.940000	13507	8.579677	0.000000	48.158688	8.266043	48.158688	8.266043
bs_raw.fast5	01fb6e6a-1ff1-44ec-8fb4-e13fe2cbad61	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	202	2	39213.298000	10.419000	10419	FALSE	39213.298000	10419	10.419000	2994	6.475291	0.000000	55.885639	8.086347	55.885639	8.086347
bs_raw.fast5	02285480-00fa-4183-aae4-ae15c5287052	aea170ff77e7e76bd42c58335c528e15f49ba94c	0	419	2	64823.649250	61.022250	61022	TRUE	64823.649250	61022	61.022250	22033	8.722617	0.000000	52.112011	8.445740	52.112011	8.445740
